orientation,case_id,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,n_components,max_component_voltage_span_V,electrode_mismatch
parallel,disconnected,3.1830988618379066,0.1,0.1987642519680712,0.00034647622617147334,0.09987512924391471,3,1.5252896890785501,0.00012626106059215628
parallel,disconnected,5.660439166124679,0.1778279410038923,0.1988208772426881,0.0006083366179436762,0.17530861167794753,3,1.524272570225942,0.0001304573564529972
parallel,disconnected,10.065842420897406,0.31622776601683794,0.19899079792211632,0.0010402194554914581,0.2995095366731648,3,1.5211791751208459,0.0001422678575015885
parallel,disconnected,17.899880321778202,0.5623413251903491,0.1994510592361254,0.0016498354563811329,0.47393306901027626,3,1.5125169015098068,0.00016994232941043344
parallel,disconnected,31.830988618379063,1.0,0.20041760308888001,0.0021892992963392223,0.6258563061959017,3,1.4932007528426676,0.0002159846311437337
parallel,disconnected,56.60439166124679,1.7782794100389228,0.20168404733046175,0.002166385400218319,0.6154178696390236,3,1.466004572507881,0.00026309597016945804
parallel,disconnected,100.65842420897407,3.1622776601683795,0.2026151937545212,0.0016092503800050567,0.45505627954330424,3,1.4447087567280068,0.0002921368144936918
parallel,disconnected,178.998803217782,5.623413251903491,0.20305075324565783,0.0010100998082293237,0.2850222300466198,3,1.4342888363683823,0.00030461682477998824
parallel,disconnected,318.30988618379064,10.0,0.20321165469622052,0.0005915992360139,0.16680167127862028,3,1.4303433163358596,0.00030913327541902484
parallel,single_edge_0p02,3.1830988618379066,0.1,0.19899376365377236,0.0011280141529771688,0.3247828312219199,3,1.1575751355079156,0.00012714380226910263
parallel,single_edge_0p02,5.660439166124679,0.1778279410038923,0.19944381472050077,0.0017964058232899697,0.5160535505197023,3,1.1798252301447905,0.00013305866892090212
parallel,single_edge_0p02,10.065842420897406,0.31622776601683794,0.2003492629366969,0.0024791793723368126,0.7089582615834706,3,1.2196451009075144,0.00014913029995722
parallel,single_edge_0p02,17.899880321778202,0.5623413251903491,0.20160520358193382,0.002887228251923668,0.8204881735918604,3,1.258297533969749,0.00018474480799565316
parallel,single_edge_0p02,31.830988618379063,1.0,0.2030140068708261,0.0029562693502273507,0.8342763565983394,3,1.2710543665983443,0.0002404686676057085
parallel,single_edge_0p02,56.60439166124679,1.7782794100389228,0.20438847829464046,0.0025534728896338147,0.7157722876511046,3,1.2611864946883034,0.0002947287928854397
parallel,single_edge_0p02,100.65842420897407,3.1622776601683795,0.2053101204063204,0.0017976748865024103,0.5016632968671167,3,1.24817195088468,0.0003271914077020533
parallel,single_edge_0p02,178.998803217782,5.623413251903491,0.20572956846026919,0.0011074002074572872,0.30840848887455097,3,1.2410757522026759,0.00034095634250121273
parallel,single_edge_0p02,318.30988618379064,10.0,0.20588320180681025,0.0006443787233431726,0.1793252697542919,3,1.2382998598284836,0.00034591340686333983
parallel,weak_chain,3.1830988618379066,0.1,0.19972138550673169,0.0006305942212288636,0.1809033484808598,3,1.3883298407678017,7.265147007592246e-05
parallel,weak_chain,5.660439166124679,0.1778279410038923,0.19983631605898297,0.0007670308111726199,0.2199170465391138,3,1.4300910707207772,8.059598339488745e-05
parallel,weak_chain,10.065842420897406,0.31622776601683794,0.20002226951968044,0.001112097953256456,0.3185538426938835,3,1.441635020951433,0.00010926207256476182
parallel,weak_chain,17.899880321778202,0.5623413251903491,0.20047681036192172,0.00166063723061318,0.47459518306027976,3,1.4383957550857565,0.00016448008705427158
parallel,weak_chain,31.830988618379063,1.0,0.20141847944767655,0.0021590774080267714,0.6141506263638562,3,1.4221772213328923,0.00024113831391203784
parallel,weak_chain,56.60439166124679,1.7782794100389228,0.20264910349077236,0.0021219096569934552,0.5999139541429847,3,1.397525149854915,0.0003122428664161156
parallel,weak_chain,100.65842420897407,3.1622776601683795,0.20355316723468514,0.0015725482206495073,0.4426292399122348,3,1.3779068274681745,0.0003542479977649278
parallel,weak_chain,178.998803217782,5.623413251903491,0.2039758488877107,0.0009862469494755642,0.2770295979841633,3,1.3682649912590206,0.0003719602788346731
parallel,weak_chain,318.30988618379064,10.0,0.20413194002169782,0.0005774600156457497,0.16208112005779454,3,1.3646110087693022,0.0003782902873752773
parallel,transition_chain,3.1830988618379066,0.1,0.20009407951372887,0.003130189428627802,0.8962384889437212,3,0.4289869745361635,0.0002534948206294182
parallel,transition_chain,5.660439166124679,0.1778279410038923,0.20184429684973496,0.004140926042654122,1.1752836799696778,3,0.6469944104298295,0.00035620676957272697
parallel,transition_chain,10.065842420897406,0.31622776601683794,0.20404137813293344,0.004282822453471955,1.202460134409582,3,0.8368258963274257,0.00045745214861822164
parallel,transition_chain,17.899880321778202,0.5623413251903491,0.20580797175261378,0.003792433104382622,1.0556725283033042,3,0.9406406049325906,0.0005424275499715346
parallel,transition_chain,31.830988618379063,1.0,0.2072010794678478,0.0032648668892965534,0.9027347477540227,3,0.9754822227128892,0.0006292166028577694
parallel,transition_chain,56.60439166124679,1.7782794100389228,0.20842440218717834,0.002594596646678186,0.7132166741795902,3,0.9770204927626108,0.0007105112136848028
parallel,transition_chain,100.65842420897407,3.1622776601683795,0.20922646396372302,0.0017671224449301022,0.48390747830091324,3,0.9707461173836563,0.0007606701923410775
parallel,transition_chain,178.998803217782,5.623413251903491,0.20958876829551187,0.0010756188469850968,0.2940418981072259,3,0.9667336687615924,0.0007822391269344456
parallel,transition_chain,318.30988618379064,10.0,0.20972101877017268,0.0006232786306176185,0.17027921219329534,3,0.965114115402084,0.0007899712447162855
parallel,strong_chain,3.1830988618379066,0.1,0.19941007628031215,0.003629735896988423,1.0428037921067075,3,0.04652980428980383,0.0003015049739497354
parallel,strong_chain,5.660439166124679,0.1778279410038923,0.20071514213464842,0.006016148643481874,1.7168448295136325,3,0.0797302710301205,0.0004846847849629771
