target_G_S,neck_length_m,neck_conductivity_S_m,required_radius_m,required_radius_um
0.002,1e-06,1.0,2.5231325220201602e-05,25.2313252202016
0.002,1e-06,100.0,2.52313252202016e-06,2.52313252202016
0.002,1e-06,10000.0,2.5231325220201604e-07,0.25231325220201606
0.002,1e-05,1.0,7.978845608028654e-05,79.78845608028654
0.002,1e-05,100.0,7.978845608028653e-06,7.978845608028653
0.002,1e-05,10000.0,7.978845608028654e-07,0.7978845608028654
0.002,0.0001,1.0,0.000252313252202016,252.313252202016
0.002,0.0001,100.0,2.5231325220201602e-05,25.2313252202016
0.002,0.0001,10000.0,2.5231325220201603e-06,2.5231325220201604
0.01,1e-06,1.0,5.641895835477563e-05,56.41895835477563
0.01,1e-06,100.0,5.641895835477563e-06,5.641895835477563
0.01,1e-06,10000.0,5.641895835477562e-07,0.5641895835477563
0.01,1e-05,1.0,0.00017841241161527713,178.41241161527714
0.01,1e-05,100.0,1.7841241161527713e-05,17.841241161527712
0.01,1e-05,10000.0,1.7841241161527713e-06,1.7841241161527712
0.01,0.0001,1.0,0.0005641895835477563,564.1895835477563
0.01,0.0001,100.0,5.641895835477564e-05,56.41895835477564
0.01,0.0001,10000.0,5.6418958354775635e-06,5.6418958354775635
0.02,1e-06,1.0,7.978845608028654e-05,79.78845608028654
0.02,1e-06,100.0,7.978845608028653e-06,7.978845608028653
0.02,1e-06,10000.0,7.978845608028654e-07,0.7978845608028654
0.02,1e-05,1.0,0.000252313252202016,252.313252202016
0.02,1e-05,100.0,2.5231325220201602e-05,25.2313252202016
0.02,1e-05,10000.0,2.5231325220201603e-06,2.5231325220201604
0.02,0.0001,1.0,0.0007978845608028654,797.8845608028654
0.02,0.0001,100.0,7.978845608028655e-05,79.78845608028655
0.02,0.0001,10000.0,7.978845608028654e-06,7.978845608028655
0.05,1e-06,1.0,0.000126156626101008,126.156626101008
0.05,1e-06,100.0,1.26156626101008e-05,12.615662610100799
0.05,1e-06,10000.0,1.26156626101008e-06,1.26156626101008
0.05,1e-05,1.0,0.0003989422804014327,398.9422804014327
0.05,1e-05,100.0,3.9894228040143275e-05,39.894228040143275
0.05,1e-05,10000.0,3.989422804014327e-06,3.9894228040143274
0.05,0.0001,1.0,0.00126156626101008,1261.56626101008
0.05,0.0001,100.0,0.000126156626101008,126.156626101008
0.05,0.0001,10000.0,1.2615662610100801e-05,12.6156626101008
0.2,1e-06,1.0,0.000252313252202016,252.313252202016
0.2,1e-06,100.0,2.52313252202016e-05,25.231325220201597
0.2,1e-06,10000.0,2.52313252202016e-06,2.52313252202016
0.2,1e-05,1.0,0.0007978845608028654,797.8845608028654
0.2,1e-05,100.0,7.978845608028655e-05,79.78845608028655
0.2,1e-05,10000.0,7.978845608028654e-06,7.978845608028655
0.2,0.0001,1.0,0.00252313252202016,2523.13252202016
0.2,0.0001,100.0,0.000252313252202016,252.313252202016
0.2,0.0001,10000.0,2.5231325220201602e-05,25.2313252202016
