network,edge,single_fraction,orthogonal_fraction,direction_factor
0,0,0.0030348013805775714,0.0020015037130008025,0.9999821069231452
0,1,0.0008243342686261806,0.0006566815781737504,0.8278790208940088
0,2,0.0001473414560445767,0.01048281119060403,0.00926969724173661
0,3,0.025390560267649548,0.054109651487146714,0.3094681107354282
0,4,0.013770516695156948,0.0832198338877635,0.10912939504786397
0,5,0.015235649487071868,0.052234149629142426,0.19236444334243502
0,6,0.013506317553975489,0.009643604273756833,0.9236680721105742
0,7,0.0027993268234527153,0.006876577237372494,0.2684723946388561
0,8,0.07306115274772246,0.054307951703411954,0.8872406948277185
0,9,0.024984526011706067,0.01648030002284368,0.9998258412077822
0,10,0.0632909147284713,0.047498381794648964,0.8787815182121477
0,11,0.015952495084586866,0.022890056521781943,0.45962126173655504
0,12,0.04813689323188702,0.03175656305142836,0.9996844116409243
0,13,0.09640288626759617,0.07884621878706262,0.8063573002674762
0,14,0.47433236120006067,0.3231402061822939,0.9680774718194826
0,15,0.0797423140159154,0.06821678410872407,0.7709317791671746
0,16,0.04938760877949935,0.13763872483084397,0.2366441184919192
1,0,0.004708611713337796,0.004135287769251337,0.5008055323133006
1,1,0.004085033918687492,0.001797739372057652,0.99942662047607
1,2,7.292950421834792e-05,0.0023139813799420645,0.013861983491666221
1,3,0.023597593468082278,0.010414500250755751,0.9965779096340096
1,4,0.02296355749700128,0.016802799347385274,0.6010900019823036
1,5,0.014311634567513375,0.009715167548719542,0.6479193043030026
1,6,0.06508409977784597,0.12055283513233839,0.2374539781211562
1,7,4.845244300443255e-08,0.013850215910219746,1.5386545016234647e-06
1,8,0.014586292721986673,0.03165400827178534,0.20267407025904505
1,9,0.04013571805319235,0.2163694897203218,0.08158625386390307
1,10,0.3605373145307479,0.23851354156112095,0.6648430827484646
1,11,0.07094139739775934,0.08167425067638959,0.3820291975852001
1,12,0.03923622713316687,0.0368664299925424,0.4680994510582169
1,13,0.27283475402328156,0.1394127347560304,0.8607543378090544
1,14,0.05716340513936048,0.03785936041107805,0.6640897765145087
1,15,0.009741382101375394,0.038067657900061815,0.11255023262167724
2,0,0.0007320404611304178,0.0004850256480139802,0.6952234544281791
