network,frequency_over_f0,delta_sigma_x,delta_sigma_y,delta_sigma_z,fem_min_over_max,fem_anisotropy_cv,fem_z_over_xy,graph_min_over_max,graph_z_over_xy
isotropic,0.1,0.00257093354453384,0.00257093354453384,0.0025709335445338374,0.999999999999999,4.771164684340809e-16,0.999999999999999,1.0,1.0
isotropic,1.0,0.007064056310438393,0.007064056310438393,0.007064056310438331,0.9999999999999912,4.109790997758951e-15,0.9999999999999912,1.0,1.0
isotropic,10.0,0.006220918354638663,0.006220918354638663,0.006220918354638663,1.0,1.3942663904946614e-16,1.0,0.9999999999999998,0.9999999999999998
axial_fabric,0.1,0.0021263912591458164,0.0021263912591458164,0.002632998048289478,0.8075931771112487,0.10404778152159166,1.2382472120145793,0.9701450847779363,1.0307736602395892
axial_fabric,1.0,0.0030327700087885265,0.0030327700087885265,0.009456427123111696,0.3207099223951482,0.5852623529460161,3.118082510611865,0.38119513836437247,2.6233283149695668
axial_fabric,10.0,0.0025218362652026185,0.0025218362652026185,0.008800957449262554,0.286541126887726,0.6414052489176636,3.489900423236017,0.10753992143194901,9.298872332102244
