p_mean,fabric_input,n,fabric_realized_median,anisotropy_median,anisotropy_q10,anisotropy_q90,min_over_max_median,z_over_xy_median,largest_component_median,span_x_probability,span_y_probability,span_z_probability,neff_fraction_median,top1pct_energy_median
0.18,0.0,32,-0.0023455949505466756,0.05003604023278532,0.022091387374223927,0.0667900266929769,0.8888012167720873,0.9956632323001584,0.01880787037037037,0.0,0.0,0.0,0.33799982087967056,0.07969864145018893
0.18,0.2,32,0.1844582241616114,0.2950396135953456,0.2449509812240618,0.33765678162281815,0.5461594512356788,1.7843484253531714,0.019097222222222224,0.0,0.0,0.0,0.3272177061808551,0.08342980307498182
0.18,0.4,32,0.40453449735210756,0.632889706420003,0.5880860315522621,0.6620575788753719,0.27766416349758793,3.4265509570202726,0.01678240740740741,0.0,0.0,0.03125,0.31999188615782803,0.08902370171005827
0.18,0.6,32,0.5977314557976509,0.9185988916659178,0.881535260136768,0.9563389045144434,0.1434449197803747,6.559601870974802,0.013888888888888888,0.0,0.0,0.0625,0.29558699946012945,0.1055907545189831
0.25,0.0,32,-0.0061994878028761025,0.041452386406862926,0.011497047629628283,0.06977325217886994,0.9076888927172565,0.9944675321153571,0.09577546296296297,0.34375,0.28125,0.4375,0.34937675695782777,0.07746117744182157
0.25,0.2,32,0.19441017138365957,0.3178167585119468,0.2710568543057407,0.35629394839556816,0.5206046529273525,1.865950297729567,0.10677083333333333,0.21875,0.3125,0.71875,0.346085265275055,0.07772064095547698
0.25,0.4,32,0.39767963607733314,0.625725909970168,0.5808573975703133,0.67619631007595,0.2839374796784998,3.3762631572024406,0.061342592592592594,0.0,0.03125,0.84375,0.3358789121071031,0.08405182683959148
0.25,0.6,32,0.596026326661214,0.9370693649746646,0.9158286834567471,0.9737207706039477,0.13807037358616042,6.887396749486906,0.04774305555555555,0.0,0.0,0.90625,0.3163606744074733,0.0959362283835403
0.32,0.0,32,-0.0026843612549536933,0.03420434221523409,0.015000227171097455,0.05942600933279509,0.923108074318429,0.9897094856942876,0.658275462962963,1.0,1.0,1.0,0.36288409552762624,0.07370547520807605
0.32,0.2,32,0.20363529271792802,0.33927825084823543,0.31806837942213423,0.3737218999455115,0.4981497504675445,1.9457608843086556,0.6423611111111112,1.0,1.0,1.0,0.35939326419606255,0.07514207283831632
0.32,0.4,32,0.40320453946442225,0.6725369315000204,0.6448346154492798,0.6975153778726569,0.25628652745356795,3.715745344323322,0.5674189814814815,0.96875,0.9375,1.0,0.3469095774323848,0.08199023218816037
0.32,0.6,32,0.6076656261170885,0.9639765776014847,0.9423731270977781,0.989918293728742,0.12977884671996448,7.42308559421371,0.41030092592592593,0.65625,0.8125,1.0,0.3309199253925972,0.09325249128226501
0.45,0.0,32,0.0068470467543270686,0.03363341684960905,0.02034241635602631,0.05190223123270276,0.9221851756079333,1.0155666660202463,0.9296875,1.0,1.0,1.0,0.3670223965749238,0.07029081466022041
0.45,0.2,32,0.20079449643949143,0.3516789708862783,0.3269906383628407,0.3685262857248254,0.4873824584802977,1.9909536338464573,0.9346064814814815,1.0,1.0,1.0,0.36510327867344455,0.07222176445420297
0.45,0.4,32,0.4056017510528547,0.7066860649899218,0.6633849444486345,0.725384582942173,0.2437254135898096,3.993391799719903,0.9525462962962963,1.0,1.0,1.0,0.35847204814018263,0.07701768075894255
0.45,0.6,32,0.5948538831785837,1.0001722805135083,0.9840762102928914,1.011051526606022,0.11726297857087373,8.241559613496147,0.9965277777777778,1.0,1.0,1.0,0.3527459547180071,0.08628994551240243
0.65,0.0,32,0.0025615087131570236,0.01716617467581939,0.007806847215454271,0.031651679006141596,0.9591334042219388,1.0090985064909264,0.9959490740740741,1.0,1.0,1.0,0.35548903338152005,0.06745542533563288
0.65,0.2,32,0.20049785259012542,0.37983794520948144,0.36463744970963047,0.4033050888381282,0.4643788838800814,2.0998136330393393,0.9982638888888888,1.0,1.0,1.0,0.3530565256305597,0.0687532633956249
0.65,0.4,32,0.3447445897873483,0.6370058879811332,0.6172973279460949,0.6602782505269448,0.28082221132123253,3.456103187147101,1.0,1.0,1.0,1.0,0.35730121714708074,0.07293315770313029
0.65,0.6,32,0.4905796492786618,0.8613927766669489,0.8401480727362155,0.8831119130744892,0.168765144745799,5.671688626169803,1.0,1.0,1.0,1.0,0.35837592203969293,0.07933841566125252
