case_id,contact_conductance_S,G_over_omega0CA,fp_interp_hz,peak_interp,fwhm_decades,f_half_low_hz,f_half_high_hz,contact_dissipation_peak_frequency_hz,max_contact_dissipation_W,max_electrode_mismatch
G_0S,0.0,0.0,39.674363833226906,0.004945290969557644,1.1533569140890347,10.5426268598346,150.07410073747127,2.5464790894703246,0.0,5.0488470588194106e-05
G_0.0001S,0.0001,0.003978873577297384,39.67363317670396,0.004937253561848369,1.1535054464910834,10.538869536923993,150.0719324142566,3.642295726132819,2.9373598711491434e-05,5.1092387844183545e-05
G_0.0005S,0.0005,0.019894367886486918,39.629315632656244,0.004910004715867607,1.1573481992310561,10.439988202553426,149.98513113002994,7.451528795962724,0.00014110668220699196,5.3459904230179656e-05
G_0.002S,0.002,0.07957747154594767,38.937211702179766,0.004869051698635864,1.22266884568316,8.903151379239556,148.66632413983785,15.244583518762019,0.0004896071156222095,6.169732702518478e-05
G_0.01S,0.01,0.3978873577297384,25.758970612455418,0.005676668406366623,1.668548683884137,2.7119179141968766,126.42274731291475,31.187872049347042,0.001339467702439393,9.32875694264188e-05
G_0.02S,0.02,0.7957747154594768,16.848208520070816,0.007775465451690989,1.4283768170968019,3.6427984105666,97.68141801253407,63.80517786985318,0.001561945283869556,0.00011642837110233866
G_0.05S,0.05,1.9894367886486921,19.958254441301126,0.010696105206144849,1.2468489834660117,4.945650058703249,87.31168448213768,381.9718634205488,0.0013880812776584622,0.00014796641612225352
G_0.2S,0.2,7.9577471545947684,23.463947596968026,0.01333756938277806,1.1763796153044197,6.117497052943109,91.82340306592118,381.9718634205488,0.0006211177338334237,0.00017849699911804318
G_1S,1.0,39.78873577297384,24.893281346149656,0.014289236319298647,1.1658347004465401,6.548992190219939,95.94208957578593,381.9718634205488,0.00015002066451109752,0.0001901412698920101
G_5S,5.0,198.94367886486918,25.228924395617575,0.014497292892269288,1.1640332089482548,6.6460068534438745,96.9603096421074,381.9718634205488,3.1227424835169395e-05,0.00019272765123726609
ideal_connected,inf,inf,25.31607298536216,0.014550346570660233,1.1635967535137435,6.670914820801546,97.22593957924661,2.5464790894703246,0.0,0.00019338920673313593
